Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4835	0.4505	0.1762	0.3602	0.1227	0.1788
2	0.4350	0.4159	0.2388	0.3409	0.1985	0.2343
3	0.4077	0.4083	0.2500	0.3771	0.2005	0.2488
4	0.3922	0.3931	0.2775	0.3409	0.2556	0.2717
5	0.3799	0.3974	0.2713	0.3747	0.2293	0.2682
6	0.3720	0.3855	0.2914	0.3417	0.2766	0.2852
7	0.3629	0.3798	0.3019	0.3177	0.3197	0.2972
8	0.3565	0.3809	0.3005	0.3378	0.2969	0.2949
9	0.3455	0.3737	0.3136	0.3257	0.3382	0.3101
10	0.3389	0.3806	0.2985	0.2596	0.4185	0.3073
11	0.3270	0.4111	0.2405	0.1756	0.4948	0.2731
12	0.3160	0.4268	0.2111	0.1479	0.5104	0.2508
13	0.3034	0.4656	0.1375	0.0884	0.4950	0.1853
14	0.2888	0.4602	0.1486	0.0965	0.5110	0.1958
15	0.2834	0.4837	0.1057	0.0660	0.4574	0.1507
16	0.2787	0.5070	0.0624	0.0380	0.3591	0.0974
17	0.2750	0.5024	0.0712	0.0437	0.3896	0.1091
18	0.2674	0.5020	0.0717	0.0440	0.4082	0.1110
19	0.2643	0.5052	0.0660	0.0406	0.3836	0.1008
