Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4822	0.4788	0.0742	0.0914	0.0692	0.0559
2	0.4754	0.4554	0.1470	0.2336	0.1141	0.1355
3	0.4540	0.4494	0.1583	0.1970	0.1426	0.1443
4	0.4465	0.4441	0.1696	0.2393	0.1406	0.1580
5	0.4431	0.4437	0.1710	0.2844	0.1294	0.1638
6	0.4395	0.4409	0.1781	0.2513	0.1482	0.1676
7	0.4374	0.4399	0.1793	0.2159	0.1674	0.1672
8	0.4341	0.4381	0.1839	0.2478	0.1574	0.1729
9	0.4319	0.4409	0.1773	0.1849	0.1900	0.1666
10	0.4277	0.4393	0.1804	0.2139	0.1718	0.1687
11	0.4244	0.4391	0.1836	0.2622	0.1515	0.1738
12	0.4213	0.4434	0.1722	0.1676	0.2059	0.1649
13	0.4125	0.4396	0.1824	0.2039	0.1871	0.1725
14	0.4081	0.4376	0.1876	0.2404	0.1703	0.1775
15	0.4068	0.4410	0.1793	0.1842	0.1993	0.1701
16	0.4039	0.4404	0.1823	0.1880	0.2018	0.1734
17	0.4032	0.4395	0.1848	0.2204	0.1783	0.1745
18	0.4018	0.4389	0.1827	0.1877	0.2047	0.1746
19	0.3947	0.4415	0.1792	0.1797	0.2125	0.1731
20	0.3933	0.4402	0.1809	0.1845	0.2071	0.1731
21	0.3928	0.4390	0.1855	0.2068	0.1904	0.1756
22	0.3918	0.4385	0.1853	0.1944	0.2065	0.1777
23	0.3869	0.4416	0.1807	0.1777	0.2166	0.1746
24	0.3873	0.4422	0.1797	0.1749	0.2237	0.1746
