Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4827	0.4683	0.1484	0.3156	0.1018	0.1466
2	0.4579	0.4412	0.2317	0.3771	0.1779	0.2322
3	0.4218	0.4276	0.2424	0.4424	0.1762	0.2516
4	0.3759	0.3998	0.2956	0.3975	0.2490	0.2927
5	0.3297	0.3771	0.3423	0.3243	0.4093	0.3431
6	0.2873	0.3538	0.3774	0.3463	0.4586	0.3798
7	0.2510	0.3322	0.4123	0.3488	0.5565	0.4234
8	0.2227	0.3220	0.4232	0.3981	0.4862	0.4233
9	0.1980	0.3061	0.4501	0.4116	0.5346	0.4528
10	0.1828	0.2933	0.4726	0.3968	0.6490	0.4889
11	0.1653	0.2873	0.4816	0.3809	0.7211	0.5077
12	0.1550	0.2971	0.4607	0.4733	0.4732	0.4574
13	0.1461	0.2757	0.5005	0.4514	0.6092	0.5069
14	0.1369	0.2682	0.5137	0.4557	0.6298	0.5207
15	0.1328	0.2581	0.5325	0.4610	0.6806	0.5442
16	0.1265	0.2542	0.5404	0.4865	0.6503	0.5468
17	0.1219	0.2547	0.5386	0.5043	0.6192	0.5424
18	0.1182	0.2484	0.5511	0.5028	0.6520	0.5570
19	0.1123	0.2307	0.5846	0.4875	0.7915	0.6051
20	0.1095	0.2229	0.5992	0.5012	0.7991	0.6180
21	0.1065	0.2232	0.5986	0.5075	0.7914	0.6169
22	0.1051	0.2301	0.5858	0.4611	0.8802	0.6204
23	0.1009	0.2176	0.6092	0.5020	0.8443	0.6339
24	0.0994	0.2114	0.6208	0.5192	0.8338	0.6419
25	0.0961	0.2098	0.6236	0.5167	0.8521	0.6472
26	0.0937	0.2071	0.6288	0.5200	0.8610	0.6531
27	0.0912	0.2055	0.6315	0.5282	0.8514	0.6541
28	0.0894	0.2121	0.6186	0.5085	0.8655	0.6447
29	0.0875	0.1984	0.6443	0.5513	0.8315	0.6618
30	0.0846	0.2127	0.6181	0.5081	0.8663	0.6450
31	0.0840	0.1972	0.6465	0.5524	0.8365	0.6645
