Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4825	0.4789	0.0802	0.1378	0.0618	0.0619
2	0.4766	0.4608	0.1330	0.1597	0.1256	0.1182
3	0.4535	0.4482	0.1619	0.2573	0.1257	0.1522
4	0.4460	0.4456	0.1671	0.1960	0.1591	0.1541
5	0.4418	0.4435	0.1715	0.1876	0.1733	0.1591
6	0.4386	0.4435	0.1744	0.1789	0.1893	0.1635
7	0.4350	0.4461	0.1672	0.1514	0.2139	0.1612
8	0.4325	0.4383	0.1827	0.2496	0.1558	0.1722
9	0.4290	0.4376	0.1852	0.2054	0.1861	0.1738
10	0.4252	0.4371	0.1862	0.2304	0.1693	0.1743
11	0.4220	0.4363	0.1885	0.2423	0.1679	0.1776
12	0.4176	0.4372	0.1866	0.2413	0.1655	0.1755
13	0.4150	0.4395	0.1827	0.1836	0.2128	0.1754
14	0.4097	0.4365	0.1898	0.2342	0.1762	0.1793
15	0.4049	0.4397	0.1820	0.1747	0.2232	0.1764
16	0.4031	0.4359	0.1924	0.2448	0.1732	0.1818
17	0.4004	0.4425	0.1786	0.1683	0.2241	0.1738
18	0.3963	0.4429	0.1781	0.1920	0.1916	0.1694
19	0.3947	0.4415	0.1770	0.1750	0.2159	0.1720
20	0.3931	0.4436	0.1727	0.1569	0.2314	0.1706
21	0.3847	0.4342	0.1950	0.2132	0.2048	0.1861
22	0.3810	0.4395	0.1831	0.1808	0.2168	0.1770
23	0.3797	0.4403	0.1801	0.1734	0.2214	0.1753
24	0.3768	0.4436	0.1777	0.1648	0.2298	0.1745
25	0.3754	0.4432	0.1752	0.1623	0.2312	0.1727
26	0.3724	0.4421	0.1790	0.1613	0.2493	0.1793
27	0.3684	0.4433	0.1789	0.1625	0.2394	0.1776
28	0.3694	0.4378	0.1895	0.1862	0.2323	0.1849
29	0.3697	0.4393	0.1854	0.1734	0.2386	0.1824
30	0.3651	0.4393	0.1865	0.1734	0.2411	0.1839
31	0.3660	0.4460	0.1723	0.1498	0.2486	0.1738
