Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4839	0.4702	0.1491	0.3314	0.1011	0.1496
2	0.4583	0.4461	0.2291	0.4037	0.1683	0.2335
3	0.4204	0.4237	0.2699	0.3742	0.2236	0.2665
4	0.3715	0.4002	0.3146	0.3895	0.2831	0.3104
5	0.3237	0.3833	0.3437	0.2777	0.5263	0.3623
6	0.2776	0.3511	0.3870	0.4240	0.3777	0.3821
7	0.2422	0.3387	0.4087	0.3247	0.6122	0.4296
8	0.2111	0.3156	0.4438	0.3543	0.6592	0.4666
9	0.1871	0.3003	0.4675	0.3773	0.6776	0.4892
10	0.1690	0.2858	0.4900	0.4092	0.6622	0.5050
11	0.1543	0.2754	0.5047	0.4323	0.6534	0.5164
12	0.1414	0.2752	0.5039	0.3936	0.7729	0.5351
13	0.1311	0.2592	0.5325	0.4676	0.6613	0.5414
14	0.1263	0.2597	0.5301	0.4959	0.6020	0.5321
15	0.1184	0.2518	0.5444	0.4379	0.7875	0.5710
16	0.1138	0.2420	0.5624	0.4726	0.7503	0.5793
17	0.1086	0.2375	0.5706	0.4931	0.7236	0.5831
18	0.1069	0.2331	0.5787	0.4792	0.7886	0.5999
19	0.1027	0.2335	0.5781	0.5127	0.7084	0.5880
20	0.1012	0.2284	0.5873	0.4792	0.8242	0.6129
21	0.0954	0.2204	0.6024	0.5172	0.7770	0.6186
22	0.0930	0.2166	0.6096	0.5188	0.7932	0.6269
23	0.0907	0.2146	0.6140	0.5100	0.8293	0.6358
24	0.0896	0.2118	0.6187	0.5132	0.8384	0.6413
25	0.0872	0.2101	0.6212	0.5618	0.7370	0.6297
26	0.0831	0.2114	0.6193	0.5096	0.8550	0.6447
27	0.0820	0.2024	0.6361	0.5450	0.8190	0.6527
28	0.0797	0.2009	0.6393	0.5627	0.7899	0.6520
29	0.0789	0.1952	0.6496	0.5515	0.8464	0.6683
30	0.0771	0.1916	0.6563	0.5776	0.8042	0.6686
31	0.0733	0.1880	0.6625	0.5779	0.8188	0.6756
32	0.0716	0.1876	0.6637	0.5931	0.7966	0.6743
33	0.0740	0.1925	0.6546	0.5948	0.7685	0.6630
34	0.0705	0.1856	0.6674	0.5892	0.8243	0.6813
35	0.0672	0.1903	0.6595	0.5664	0.8486	0.6775
36	0.0676	0.1946	0.6506	0.5497	0.8565	0.6715
37	0.0653	0.1844	0.6697	0.5782	0.8497	0.6869
38	0.0643	0.1804	0.6768	0.6167	0.7953	0.6866
39	0.0637	0.1736	0.6902	0.6054	0.8451	0.7032
40	0.0636	0.1728	0.6914	0.6158	0.8299	0.7027
41	0.0592	0.1713	0.6942	0.5999	0.8715	0.7102
42	0.0603	0.1725	0.6916	0.6328	0.7984	0.6992
43	0.0604	0.1712	0.6945	0.6003	0.8694	0.7103
44	0.0578	0.1700	0.6966	0.6183	0.8448	0.7095
45	0.0583	0.1752	0.6872	0.5888	0.8793	0.7052
46	0.0570	0.1659	0.7043	0.6334	0.8353	0.7149
47	0.0557	0.1744	0.6883	0.6313	0.7943	0.6959
48	0.0553	0.1659	0.7049	0.6293	0.8495	0.7176
49	0.0536	0.1610	0.7126	0.6331	0.8614	0.7256
50	0.0539	0.1620	0.7114	0.6351	0.8529	0.7233
51	0.0526	0.1621	0.7106	0.6313	0.8591	0.7236
52	0.0539	0.1644	0.7062	0.6438	0.8178	0.7141
53	0.0511	0.1573	0.7198	0.6449	0.8568	0.7305
54	0.0499	0.1586	0.7181	0.6478	0.8440	0.7279
55	0.0488	0.1598	0.7153	0.6347	0.8624	0.7279
56	0.0499	0.1585	0.7183	0.6332	0.8742	0.7319
57	0.0468	0.1618	0.7127	0.6167	0.8976	0.7304
58	0.0468	0.1514	0.7310	0.6369	0.9028	0.7463
