Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4812	0.4523	0.1656	0.4373	0.1060	0.1800
2	0.4306	0.4171	0.2316	0.4064	0.1720	0.2360
3	0.4026	0.4011	0.2617	0.3595	0.2250	0.2587
4	0.3880	0.3927	0.2772	0.3545	0.2502	0.2732
5	0.3787	0.3897	0.2826	0.3520	0.2590	0.2782
6	0.3711	0.3827	0.2943	0.3219	0.3030	0.2898
7	0.3630	0.3810	0.2983	0.3083	0.3233	0.2945
8	0.3577	0.3767	0.3065	0.3383	0.3120	0.3023
9	0.3503	0.3754	0.3103	0.3460	0.3138	0.3068
10	0.3438	0.3733	0.3135	0.3253	0.3446	0.3118
11	0.3371	0.3686	0.3227	0.3287	0.3551	0.3206
12	0.3313	0.3714	0.3154	0.2886	0.4008	0.3193
13	0.3249	0.3706	0.3174	0.2886	0.4073	0.3218
14	0.3161	0.3806	0.2994	0.2367	0.4946	0.3215
15	0.3125	0.3597	0.3405	0.3229	0.4133	0.3432
16	0.3064	0.3711	0.3166	0.2594	0.4857	0.3341
17	0.3002	0.3540	0.3506	0.3174	0.4558	0.3583
18	0.2942	0.3789	0.3014	0.2299	0.5509	0.3328
19	0.2862	0.3575	0.3432	0.2830	0.5206	0.3617
20	0.2794	0.3749	0.3113	0.2393	0.5690	0.3433
21	0.2737	0.3593	0.3408	0.2736	0.5594	0.3663
22	0.2630	0.3729	0.3148	0.2347	0.6129	0.3538
23	0.2601	0.3645	0.3304	0.2529	0.5986	0.3640
24	0.2573	0.3728	0.3149	0.2350	0.6171	0.3542
25	0.2552	0.3778	0.3059	0.2253	0.6437	0.3506
26	0.2501	0.3826	0.2969	0.2153	0.6499	0.3443
27	0.2500	0.3806	0.3008	0.2190	0.6376	0.3462
