Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4868	0.4728	0.1491	0.2639	0.1107	0.1413
2	0.4650	0.4522	0.2086	0.4308	0.1437	0.2190
3	0.4349	0.4330	0.2415	0.3983	0.1832	0.2441
4	0.3897	0.4063	0.2986	0.4109	0.2472	0.2967
5	0.3410	0.4076	0.2901	0.2176	0.5346	0.3194
6	0.2922	0.3601	0.3798	0.3244	0.5078	0.3886
7	0.2500	0.3381	0.4086	0.3547	0.5341	0.4173
8	0.2150	0.3183	0.4368	0.3988	0.5239	0.4401
9	0.1921	0.3058	0.4544	0.3870	0.5986	0.4654
10	0.1689	0.2963	0.4678	0.3790	0.6789	0.4892
11	0.1540	0.2908	0.4739	0.3693	0.7428	0.5047
12	0.1441	0.2831	0.4870	0.3815	0.7501	0.5168
13	0.1327	0.2655	0.5193	0.4247	0.7332	0.5413
14	0.1241	0.2589	0.5315	0.4844	0.6261	0.5362
15	0.1175	0.2677	0.5137	0.3946	0.8163	0.5504
16	0.1124	0.2484	0.5495	0.4434	0.7965	0.5765
17	0.1061	0.2395	0.5667	0.4647	0.7826	0.5885
18	0.1013	0.2416	0.5629	0.4506	0.8177	0.5913
19	0.0986	0.2345	0.5758	0.4639	0.8278	0.6037
20	0.0943	0.2246	0.5942	0.5008	0.7849	0.6125
21	0.0916	0.2211	0.6010	0.5099	0.7920	0.6193
22	0.0904	0.2234	0.5972	0.4866	0.8313	0.6220
23	0.0878	0.2172	0.6086	0.5431	0.7307	0.6171
24	0.0865	0.2224	0.5992	0.4815	0.8676	0.6291
25	0.0836	0.2094	0.6235	0.5292	0.8124	0.6412
26	0.0804	0.2308	0.5833	0.4658	0.8667	0.6169
27	0.0800	0.2064	0.6292	0.5293	0.8362	0.6501
28	0.0789	0.2085	0.6253	0.5166	0.8578	0.6500
29	0.0740	0.1986	0.6434	0.5408	0.8606	0.6653
30	0.0717	0.1947	0.6511	0.5741	0.7982	0.6632
31	0.0711	0.1943	0.6522	0.5683	0.8137	0.6665
32	0.0704	0.1925	0.6542	0.5820	0.7922	0.6654
33	0.0686	0.1857	0.6681	0.5858	0.8259	0.6819
34	0.0670	0.1892	0.6607	0.5521	0.8763	0.6823
35	0.0651	0.1871	0.6648	0.5825	0.8239	0.6785
36	0.0659	0.1845	0.6697	0.5689	0.8716	0.6895
37	0.0631	0.1912	0.6567	0.5597	0.8648	0.6776
38	0.0607	0.1826	0.6728	0.6040	0.8043	0.6837
39	0.0602	0.1838	0.6708	0.6086	0.7913	0.6804
40	0.0603	0.1770	0.6832	0.5868	0.8696	0.7009
41	0.0590	0.1806	0.6759	0.5856	0.8553	0.6927
42	0.0578	0.1781	0.6810	0.5857	0.8655	0.6978
43	0.0587	0.1747	0.6881	0.6010	0.8515	0.7027
44	0.0574	0.1752	0.6862	0.6034	0.8414	0.6997
45	0.0555	0.1791	0.6795	0.5834	0.8732	0.6985
46	0.0535	0.1786	0.6809	0.5859	0.8691	0.6990
47	0.0530	0.1801	0.6773	0.5797	0.8751	0.6967
48	0.0508	0.1643	0.7065	0.6211	0.8642	0.7203
49	0.0523	0.1653	0.7048	0.6184	0.8691	0.7194
50	0.0492	0.1651	0.7043	0.6091	0.8822	0.7209
51	0.0485	0.1716	0.6918	0.5884	0.8914	0.7113
52	0.0488	0.1645	0.7056	0.6090	0.8895	0.7227
53	0.0468	0.1600	0.7147	0.6229	0.8929	0.7307
54	0.0461	0.1646	0.7053	0.6085	0.8892	0.7221
55	0.0456	0.1580	0.7176	0.6312	0.8748	0.7313
56	0.0458	0.1565	0.7211	0.6353	0.8756	0.7344
57	0.0443	0.1575	0.7190	0.6280	0.8867	0.7339
58	0.0440	0.1645	0.7052	0.6141	0.8819	0.7214
59	0.0448	0.1605	0.7135	0.6175	0.8890	0.7294
60	0.0428	0.1574	0.7196	0.6276	0.8883	0.7348
61	0.0419	0.1552	0.7235	0.6341	0.8877	0.7375
62	0.0407	0.1570	0.7197	0.6281	0.8893	0.7347
63	0.0409	0.1568	0.7209	0.6323	0.8872	0.7357
64	0.0411	0.1546	0.7249	0.6349	0.8862	0.7389
65	0.0394	0.1526	0.7280	0.6381	0.8895	0.7421
66	0.0386	0.1488	0.7354	0.6591	0.8745	0.7467
67	0.0394	0.1505	0.7325	0.6463	0.8910	0.7460
68	0.0373	0.1494	0.7342	0.6473	0.8926	0.7475
69	0.0381	0.1476	0.7376	0.6581	0.8848	0.7494
70	0.0366	0.1484	0.7363	0.6531	0.8913	0.7491
71	0.0353	0.1499	0.7332	0.6465	0.8873	0.7463
72	0.0358	0.1460	0.7407	0.6598	0.8849	0.7521
73	0.0358	0.1461	0.7412	0.6573	0.8866	0.7530
74	0.0347	0.1463	0.7401	0.6549	0.8879	0.7521
75	0.0356	0.1477	0.7376	0.6513	0.8895	0.7503
76	0.0350	0.1457	0.7412	0.6577	0.8864	0.7530
77	0.0348	0.1423	0.7475	0.6678	0.8890	0.7590
78	0.0325	0.1456	0.7412	0.6525	0.9023	0.7546
79	0.0328	0.1417	0.7489	0.6686	0.8906	0.7606
80	0.0315	0.1431	0.7461	0.6602	0.8969	0.7587
81	0.0319	0.1405	0.7512	0.6724	0.8909	0.7628
82	0.0325	0.1398	0.7526	0.6738	0.8929	0.7643
83	0.0312	0.1394	0.7531	0.6762	0.8873	0.7639
84	0.0301	0.1392	0.7537	0.6780	0.8857	0.7642
85	0.0311	0.1391	0.7539	0.6779	0.8853	0.7642
86	0.0299	0.1377	0.7560	0.6795	0.8875	0.7663
87	0.0291	0.1356	0.7599	0.6831	0.8964	0.7706
88	0.0287	0.1360	0.7601	0.6856	0.8896	0.7705
89	0.0291	0.1356	0.7598	0.6839	0.8888	0.7697
90	0.0280	0.1346	0.7623	0.6916	0.8828	0.7714
91	0.0293	0.1343	0.7625	0.6847	0.8959	0.7730
92	0.0277	0.1338	0.7640	0.6923	0.8861	0.7733
93	0.0301	0.1319	0.7670	0.6921	0.8994	0.7776
94	0.0273	0.1317	0.7678	0.6910	0.8978	0.7779
95	0.0280	0.1319	0.7677	0.7018	0.8791	0.7758
96	0.0264	0.1306	0.7694	0.6962	0.8933	0.7788
97	0.0272	0.1300	0.7711	0.6979	0.8941	0.7803
98	0.0267	0.1318	0.7683	0.6889	0.9081	0.7796
99	0.0260	0.1302	0.7704	0.6991	0.8917	0.7796
100	0.0260	0.1302	0.7708	0.7040	0.8833	0.7790
101	0.0252	0.1322	0.7668	0.6880	0.9007	0.7773
102	0.0256	0.1296	0.7717	0.7023	0.8884	0.7803
103	0.0246	0.1292	0.7724	0.7034	0.8877	0.7808
104	0.0257	0.1294	0.7719	0.6983	0.8957	0.7812
105	0.0249	0.1297	0.7720	0.7021	0.8893	0.7806
106	0.0236	0.1303	0.7710	0.6918	0.9052	0.7815
107	0.0240	0.1299	0.7715	0.7079	0.8786	0.7792
108	0.0239	0.1292	0.7725	0.7005	0.8933	0.7815
109	0.0242	0.1291	0.7729	0.7064	0.8839	0.7808
110	0.0250	0.1291	0.7730	0.7017	0.8920	0.7817
111	0.0225	0.1291	0.7731	0.7047	0.8918	0.7815
112	0.0237	0.1287	0.7739	0.7065	0.8866	0.7820
113	0.0257	0.1283	0.7741	0.7052	0.8884	0.7823
114	0.0238	0.1294	0.7726	0.7007	0.8925	0.7814
115	0.0243	0.1287	0.7739	0.7036	0.8905	0.7823
116	0.0247	0.1287	0.7738	0.7042	0.8897	0.7822
117	0.0240	0.1292	0.7731	0.7035	0.8893	0.7815
118	0.0235	0.1288	0.7737	0.7083	0.8829	0.7814
119	0.0254	0.1284	0.7744	0.7063	0.8878	0.7825
120	0.0232	0.1291	0.7733	0.7070	0.8838	0.7811
121	0.0241	0.1295	0.7726	0.7092	0.8783	0.7799
122	0.0249	0.1289	0.7736	0.7052	0.8877	0.7818
123	0.0235	0.1288	0.7736	0.7068	0.8850	0.7815
124	0.0236	0.1289	0.7736	0.7077	0.8833	0.7813
125	0.0241	0.1286	0.7742	0.7060	0.8877	0.7823
126	0.0238	0.1290	0.7733	0.7060	0.8856	0.7813
127	0.0232	0.1287	0.7738	0.7061	0.8866	0.7819
128	0.0226	0.1286	0.7737	0.7083	0.8827	0.7814
129	0.0225	0.1286	0.7741	0.7075	0.8849	0.7819
