Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4770	0.4629	0.1451	0.4138	0.0912	0.1569
2	0.4403	0.4256	0.2446	0.3745	0.1921	0.2431
3	0.3839	0.3954	0.3042	0.3382	0.2978	0.2973
4	0.3294	0.3807	0.3165	0.4251	0.2643	0.3143
5	0.2826	0.3576	0.3570	0.3956	0.3446	0.3509
6	0.2443	0.3318	0.4045	0.3490	0.5218	0.4109
7	0.2152	0.3284	0.4058	0.3061	0.6880	0.4408
8	0.1932	0.3066	0.4449	0.3671	0.6230	0.4613
9	0.1779	0.2937	0.4673	0.3905	0.6274	0.4804
10	0.1640	0.2853	0.4822	0.3922	0.6814	0.5017
11	0.1537	0.2863	0.4799	0.3609	0.8038	0.5212
12	0.1449	0.2690	0.5120	0.4115	0.7378	0.5356
13	0.1397	0.2628	0.5237	0.4610	0.6551	0.5334
14	0.1315	0.2545	0.5387	0.4469	0.7435	0.5593
15	0.1262	0.2473	0.5529	0.4601	0.7499	0.5719
16	0.1234	0.2466	0.5539	0.4441	0.8100	0.5827
17	0.1194	0.2416	0.5639	0.4572	0.8060	0.5903
18	0.1141	0.2372	0.5720	0.4640	0.8148	0.5984
19	0.1105	0.2330	0.5803	0.4762	0.8147	0.6055
20	0.1089	0.2268	0.5917	0.4808	0.8360	0.6182
21	0.1051	0.2246	0.5961	0.4897	0.8287	0.6205
22	0.1037	0.2162	0.6111	0.5168	0.8097	0.6307
23	0.0997	0.2137	0.6159	0.5334	0.7763	0.6294
24	0.0979	0.2147	0.6138	0.5341	0.7777	0.6280
25	0.0947	0.2116	0.6192	0.5089	0.8550	0.6438
26	0.0919	0.2059	0.6298	0.5409	0.8100	0.6461
27	0.0894	0.2031	0.6356	0.5532	0.8013	0.6503
28	0.0874	0.2060	0.6298	0.5224	0.8607	0.6539
29	0.0859	0.2070	0.6275	0.5186	0.8617	0.6524
30	0.0815	0.2002	0.6405	0.5483	0.8262	0.6582
31	0.0806	0.1961	0.6485	0.5759	0.7895	0.6600
32	0.0783	0.1932	0.6540	0.5508	0.8663	0.6756
33	0.0766	0.1948	0.6515	0.5400	0.8899	0.6771
34	0.0745	0.1860	0.6667	0.5869	0.8270	0.6813
35	0.0729	0.1820	0.6749	0.5875	0.8452	0.6905
36	0.0711	0.1798	0.6784	0.5843	0.8632	0.6956
37	0.0707	0.1792	0.6802	0.5813	0.8692	0.6980
38	0.0692	0.1747	0.6883	0.6183	0.8202	0.6990
39	0.0668	0.1724	0.6927	0.6016	0.8723	0.7098
40	0.0654	0.1740	0.6894	0.6239	0.8105	0.6984
41	0.0624	0.1687	0.6997	0.6073	0.8745	0.7156
