Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4823	0.4785	0.0766	0.0970	0.0697	0.0581
2	0.4757	0.4581	0.1383	0.1811	0.1215	0.1236
3	0.4546	0.4477	0.1621	0.2269	0.1357	0.1499
4	0.4477	0.4462	0.1650	0.1773	0.1700	0.1526
5	0.4421	0.4425	0.1735	0.2626	0.1384	0.1641
6	0.4388	0.4401	0.1782	0.2361	0.1536	0.1663
7	0.4354	0.4464	0.1645	0.1472	0.2139	0.1591
8	0.4317	0.4385	0.1824	0.2040	0.1819	0.1708
9	0.4271	0.4395	0.1806	0.2367	0.1566	0.1688
10	0.4225	0.4399	0.1828	0.2634	0.1502	0.1732
11	0.4191	0.4382	0.1849	0.2203	0.1796	0.1747
12	0.4165	0.4368	0.1852	0.2000	0.1963	0.1758
13	0.4129	0.4447	0.1686	0.1505	0.2287	0.1658
14	0.4079	0.4424	0.1763	0.1720	0.2143	0.1704
15	0.4041	0.4402	0.1831	0.1970	0.1985	0.1746
16	0.4022	0.4411	0.1828	0.1887	0.2034	0.1739
17	0.3931	0.4407	0.1794	0.1706	0.2236	0.1746
18	0.3908	0.4350	0.1926	0.2136	0.2029	0.1844
19	0.3891	0.4353	0.1913	0.2101	0.2075	0.1842
20	0.3876	0.4404	0.1823	0.1904	0.2086	0.1760
21	0.3856	0.4368	0.1907	0.1978	0.2137	0.1832
22	0.3846	0.4404	0.1812	0.1746	0.2271	0.1773
23	0.3808	0.4382	0.1861	0.1878	0.2168	0.1799
24	0.3787	0.4333	0.1981	0.2114	0.2159	0.1906
25	0.3776	0.4372	0.1903	0.1991	0.2142	0.1837
26	0.3762	0.4367	0.1899	0.1881	0.2273	0.1849
27	0.3747	0.4365	0.1905	0.1891	0.2294	0.1859
28	0.3741	0.4410	0.1800	0.1694	0.2304	0.1767
29	0.3731	0.4406	0.1833	0.1713	0.2383	0.1808
30	0.3722	0.4390	0.1845	0.1767	0.2314	0.1806
31	0.3703	0.4354	0.1929	0.2005	0.2192	0.1868
32	0.3707	0.4406	0.1812	0.1723	0.2299	0.1778
33	0.3704	0.4375	0.1889	0.1855	0.2297	0.1844
34	0.3718	0.4404	0.1827	0.1740	0.2318	0.1794
