Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4878	0.4666	0.1422	0.5002	0.0854	0.1660
2	0.4429	0.4269	0.2104	0.4202	0.1481	0.2188
3	0.4072	0.4093	0.2484	0.4120	0.1886	0.2516
4	0.3889	0.3970	0.2698	0.3910	0.2213	0.2687
5	0.3773	0.3915	0.2808	0.3832	0.2391	0.2782
6	0.3689	0.3896	0.2850	0.3873	0.2431	0.2825
7	0.3601	0.3857	0.2932	0.3973	0.2506	0.2913
8	0.3520	0.3775	0.3092	0.3926	0.2764	0.3061
9	0.3442	0.3688	0.3224	0.3550	0.3237	0.3178
10	0.3355	0.3688	0.3244	0.3654	0.3213	0.3204
11	0.3269	0.3756	0.3148	0.4104	0.2744	0.3126
12	0.3192	0.3634	0.3357	0.3804	0.3257	0.3313
13	0.3122	0.3534	0.3525	0.3475	0.3992	0.3518
14	0.3012	0.3547	0.3519	0.3816	0.3602	0.3492
15	0.2946	0.3489	0.3616	0.3483	0.4188	0.3620
16	0.2859	0.3433	0.3726	0.3642	0.4248	0.3731
17	0.2781	0.3460	0.3665	0.3293	0.4678	0.3726
18	0.2699	0.3419	0.3744	0.3400	0.4728	0.3803
19	0.2658	0.3432	0.3729	0.3547	0.4413	0.3751
20	0.2580	0.3389	0.3818	0.3995	0.4010	0.3799
21	0.2512	0.3366	0.3854	0.3557	0.4730	0.3900
22	0.2458	0.3397	0.3789	0.3559	0.4617	0.3835
23	0.2381	0.3396	0.3818	0.4152	0.3847	0.3792
24	0.2330	0.3370	0.3852	0.3485	0.4876	0.3915
25	0.2303	0.3348	0.3912	0.4232	0.3986	0.3896
26	0.2269	0.3283	0.4009	0.3571	0.5203	0.4101
27	0.2198	0.3274	0.4024	0.3639	0.5124	0.4105
28	0.2146	0.3299	0.3975	0.3479	0.5356	0.4096
29	0.2136	0.3252	0.4070	0.3691	0.5121	0.4142
30	0.2112	0.3293	0.3977	0.3388	0.5574	0.4133
31	0.2057	0.3446	0.3697	0.2934	0.5965	0.3960
32	0.2038	0.3298	0.3977	0.3404	0.5550	0.4128
33	0.1998	0.3280	0.4013	0.3637	0.5092	0.4091
34	0.1931	0.3227	0.4111	0.3707	0.5291	0.4206
35	0.1914	0.3215	0.4138	0.3799	0.5154	0.4211
36	0.1895	0.3259	0.4052	0.3643	0.5188	0.4137
37	0.1893	0.3203	0.4158	0.3666	0.5495	0.4275
38	0.1882	0.3170	0.4225	0.3887	0.5213	0.4293
39	0.1835	0.3259	0.4049	0.3421	0.5787	0.4226
40	0.1834	0.3235	0.4095	0.3477	0.5751	0.4256
41	0.1845	0.3167	0.4228	0.3818	0.5394	0.4322
42	0.1811	0.3233	0.4103	0.3490	0.5780	0.4271
43	0.1805	0.3239	0.4091	0.3494	0.5730	0.4254
44	0.1771	0.3193	0.4180	0.3623	0.5666	0.4319
45	0.1774	0.3167	0.4232	0.4041	0.4944	0.4267
46	0.1762	0.3221	0.4123	0.3476	0.5917	0.4310
47	0.1731	0.3225	0.4118	0.3429	0.6011	0.4322
48	0.1750	0.3181	0.4201	0.3655	0.5682	0.4340
49	0.1726	0.3194	0.4178	0.3559	0.5867	0.4348
50	0.1728	0.3221	0.4122	0.3464	0.5941	0.4313
51	0.1698	0.3249	0.4074	0.3374	0.5999	0.4281
52	0.1674	0.3193	0.4181	0.3559	0.5863	0.4350
53	0.1663	0.3181	0.4205	0.3708	0.5521	0.4317
54	0.1656	0.3222	0.4125	0.3507	0.5799	0.4294
55	0.1658	0.3191	0.4187	0.3570	0.5863	0.4356
