Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4840	0.4515	0.1663	0.3934	0.1099	0.1743
2	0.4336	0.4237	0.2175	0.4085	0.1558	0.2234
3	0.4060	0.4123	0.2378	0.4025	0.1784	0.2409
4	0.3912	0.4009	0.2646	0.3835	0.2157	0.2627
5	0.3801	0.4045	0.2612	0.4279	0.1989	0.2655
6	0.3706	0.3972	0.2742	0.4202	0.2158	0.2759
7	0.3646	0.3817	0.3004	0.3784	0.2675	0.2958
8	0.3569	0.3760	0.3105	0.3673	0.2893	0.3047
9	0.3490	0.3981	0.2762	0.4439	0.2125	0.2812
10	0.3423	0.3719	0.3192	0.3864	0.2921	0.3144
11	0.3342	0.3712	0.3204	0.3773	0.3007	0.3155
12	0.3272	0.3608	0.3383	0.3565	0.3514	0.3339
13	0.3183	0.3633	0.3403	0.3562	0.3544	0.3358
14	0.3113	0.3570	0.3462	0.3510	0.3771	0.3437
15	0.3049	0.3497	0.3592	0.3407	0.4206	0.3595
16	0.2953	0.3534	0.3546	0.3956	0.3484	0.3506
17	0.2882	0.3512	0.3589	0.3895	0.3609	0.3550
18	0.2794	0.3419	0.3757	0.3816	0.4055	0.3738
19	0.2743	0.3392	0.3794	0.3630	0.4411	0.3806
20	0.2680	0.3363	0.3851	0.3595	0.4572	0.3870
21	0.2579	0.3356	0.3866	0.3776	0.4318	0.3855
22	0.2547	0.3336	0.3907	0.3696	0.4559	0.3919
23	0.2489	0.3311	0.3953	0.3842	0.4468	0.3955
24	0.2417	0.3332	0.3926	0.3890	0.4352	0.3921
25	0.2377	0.3255	0.4063	0.3765	0.4905	0.4105
26	0.2335	0.3283	0.4018	0.4006	0.4390	0.4007
27	0.2284	0.3291	0.3986	0.3554	0.5024	0.4046
28	0.2249	0.3245	0.4073	0.3659	0.5064	0.4125
29	0.2203	0.3273	0.4038	0.4057	0.4331	0.4015
30	0.2176	0.3252	0.4058	0.3507	0.5403	0.4161
31	0.2133	0.3232	0.4105	0.3696	0.5098	0.4160
32	0.2092	0.3232	0.4100	0.3434	0.5755	0.4253
33	0.2044	0.3207	0.4158	0.3926	0.4847	0.4178
34	0.2018	0.3175	0.4216	0.3870	0.5104	0.4259
35	0.1982	0.3188	0.4185	0.3829	0.5081	0.4228
36	0.1960	0.3206	0.4155	0.3475	0.5782	0.4303
37	0.1955	0.3145	0.4268	0.3932	0.5152	0.4314
38	0.1924	0.3225	0.4114	0.3415	0.5895	0.4287
39	0.1860	0.3128	0.4303	0.3882	0.5333	0.4367
40	0.1856	0.3189	0.4186	0.3596	0.5578	0.4297
41	0.1838	0.3387	0.3802	0.2931	0.6347	0.4109
42	0.1811	0.3219	0.4127	0.3388	0.6031	0.4319
43	0.1785	0.3118	0.4320	0.3767	0.5690	0.4436
44	0.1745	0.3112	0.4337	0.3916	0.5393	0.4408
45	0.1731	0.3206	0.4151	0.3449	0.5946	0.4327
46	0.1718	0.3163	0.4234	0.3550	0.6002	0.4413
47	0.1711	0.3244	0.4080	0.3312	0.6102	0.4291
48	0.1689	0.3206	0.4151	0.3379	0.6240	0.4378
49	0.1658	0.3077	0.4400	0.3776	0.5949	0.4543
50	0.1631	0.3239	0.4088	0.3265	0.6375	0.4351
51	0.1599	0.3103	0.4353	0.3677	0.6091	0.4524
52	0.1597	0.3084	0.4387	0.3739	0.6047	0.4552
53	0.1621	0.3121	0.4315	0.3543	0.6277	0.4522
54	0.1583	0.3115	0.4326	0.3584	0.6195	0.4518
55	0.1575	0.3099	0.4364	0.3756	0.5866	0.4500
56	0.1555	0.3117	0.4328	0.3638	0.6120	0.4507
57	0.1543	0.3056	0.4444	0.3923	0.5730	0.4549
58	0.1576	0.3087	0.4384	0.3756	0.5940	0.4528
59	0.1540	0.3103	0.4356	0.3630	0.6210	0.4542
60	0.1560	0.3113	0.4335	0.3604	0.6189	0.4526
61	0.1539	0.3111	0.4336	0.3592	0.6259	0.4538
62	0.1516	0.3103	0.4350	0.3619	0.6212	0.4540
63	0.1532	0.3085	0.4392	0.3748	0.5993	0.4543
64	0.1521	0.3085	0.4389	0.3698	0.6116	0.4559
65	0.1509	0.3101	0.4359	0.3661	0.6159	0.4539
66	0.1539	0.3091	0.4378	0.3646	0.6204	0.4563
67	0.1541	0.3101	0.4360	0.3656	0.6150	0.4539
