Epoch	Train_Loss	Val_Loss	Val_F1	Val_Recall	Val_Precision	Val_MCC
1	0.4822	0.4786	0.0810	0.1207	0.0662	0.0621
2	0.4772	0.4641	0.1260	0.1793	0.1043	0.1107
3	0.4559	0.4508	0.1563	0.1777	0.1529	0.1428
4	0.4476	0.4436	0.1711	0.2426	0.1411	0.1597
5	0.4430	0.4435	0.1710	0.2934	0.1274	0.1649
6	0.4384	0.4393	0.1811	0.2088	0.1755	0.1691
7	0.4354	0.4392	0.1817	0.2402	0.1571	0.1701
8	0.4316	0.4384	0.1822	0.2373	0.1605	0.1709
9	0.4271	0.4457	0.1682	0.1615	0.2095	0.1616
10	0.4235	0.4433	0.1763	0.2216	0.1605	0.1646
11	0.4197	0.4416	0.1791	0.2102	0.1739	0.1679
12	0.4160	0.4414	0.1785	0.2184	0.1657	0.1668
13	0.4057	0.4405	0.1824	0.2187	0.1730	0.1711
14	0.4039	0.4414	0.1804	0.2226	0.1681	0.1693
15	0.4019	0.4472	0.1668	0.1803	0.1821	0.1578
16	0.3982	0.4419	0.1804	0.2206	0.1719	0.1702
17	0.3966	0.4442	0.1736	0.1898	0.1854	0.1640
18	0.3901	0.4434	0.1758	0.1887	0.1857	0.1659
19	0.3896	0.4462	0.1700	0.1878	0.1768	0.1599
20	0.3870	0.4473	0.1684	0.1695	0.1958	0.1606
21	0.3873	0.4515	0.1598	0.1449	0.2112	0.1561
22	0.3855	0.4475	0.1674	0.1696	0.1933	0.1589
23	0.3826	0.4521	0.1599	0.1477	0.2044	0.1550
